meetraai 1;raai1;184001.5773;87311.7876;6.2411;0.0058;0.0081;08:03:40;2025/03/25
meetraai 2;Raai;183998.1588;87308.3302;6.3295;0.0081;0.0112;08:07:09;2025/03/25
meetraai 3;Raai;183995.1242;87304.4713;6.1940;0.0070;0.0098;08:08:29;2025/03/25
ngi1;ngi punt;184041.4964;87394.8299;9.4563;0.0078;0.0099;09:30:42;2025/03/25
waterlijn1;waterpeil;184002.7521;87311.4728;5.8279;0.0077;0.0101;09:33:53;2025/03/25
waterlijn2;waterpeil;184002.7383;87311.4372;5.8103;0.0085;0.0111;09:34:44;2025/03/25
waterlijn3;waterpeil;184001.5433;87310.3573;5.8105;0.0089;0.0115;09:35:08;2025/03/25
waterlijn4;waterpeil na verdieping divers;184000.9175;87309.8254;5.8459;0.0102;0.0125;09:44:45;2025/03/25
waterlijn5;waterpeil na verdieping divers;184000.6705;87309.4819;5.8545;0.0090;0.0111;09:45:06;2025/03/25
waterlijn6;waterpeil na verdieping divers;184000.3143;87309.2544;5.8658;0.0076;0.0096;09:45:28;2025/03/25
breuksteen1;breukstenen;184008.5722;87303.9763;5.6309;0.0059;0.0075;09:49:59;2025/03/25
breuksteen2;breukstenen oranje1;184009.8603;87303.7476;5.9899;0.0055;0.0070;09:50:46;2025/03/25
breuksteen3;breukstenen;184010.1327;87303.5351;5.9832;0.0060;0.0075;09:51:19;2025/03/25
breuksteen4;breukstenen oranje2;184007.1427;87300.2847;5.9078;0.0057;0.0073;09:52:21;2025/03/25
breuksteen5;breukstenen oranje1;184003.9724;87296.8466;6.0459;0.0059;0.0074;09:53:03;2025/03/25
breuksteen6;breukstenen;184004.9914;87296.0928;5.7726;0.0056;0.0070;09:53:35;2025/03/25
paaltje geel top;ref drone;184003.4837;87322.2947;9.3287;0.0078;0.0116;10:55:46;2025/03/25
paaltje geel bot;ref drone;184003.4144;87322.2601;8.5982;0.0070;0.0104;10:56:15;2025/03/25
staaf;ref drone;183984.5582;87305.2901;8.7287;0.0048;0.0074;10:56:58;2025/03/25
staaf1;ref drone;183984.5849;87305.2985;8.7865;0.0045;0.0070;10:57:21;2025/03/25
raai3 bathy;raai in water;183995.8999;87303.8016;5.8008;0.0070;0.0096;12:45:03;2025/03/25
raai4 bathy;raai in water;183995.9791;87303.7466;5.6339;0.0079;0.0108;12:45:24;2025/03/25
raai5 bathy 3;raai in water;183995.9788;87303.7446;5.6108;0.0080;0.0109;12:45:58;2025/03/25
raai5 bathy 4;raai in water;183996.4323;87303.3451;5.5183;0.0079;0.0110;12:46:15;2025/03/25
raai5 bathy 5;raai in water;183996.2619;87303.3381;5.6036;0.0113;0.0158;12:50:14;2025/03/25
raai5 bathy 6;raai in water;183996.5976;87303.1920;5.5533;0.0117;0.0160;12:50:36;2025/03/25
