zes28a-1a2b-09v
Date,Time,Value [µS/cm],Quality,Tags,Comments
26/08/2025,16:55:00,5.842,NA,conductivity,28.184
26/08/2025,17:00:00,1708.780,NA,conductivity,26.751
26/08/2025,17:05:00,7453.849,NA,conductivity,21.628
26/08/2025,17:10:00,7671.796,NA,conductivity,21.618
26/08/2025,17:15:00,7959.666,NA,conductivity,21.617
26/08/2025,17:20:00,8246.732,NA,conductivity,21.616
26/08/2025,17:25:00,8613.780,NA,conductivity,21.614
26/08/2025,17:30:00,9088.961,NA,conductivity,21.607
26/08/2025,17:35:00,9732.581,NA,conductivity,21.596
26/08/2025,17:40:00,10131.122,NA,conductivity,21.593
26/08/2025,17:45:00,10501.821,NA,conductivity,21.592
26/08/2025,17:50:00,10952.313,NA,conductivity,21.594
26/08/2025,17:55:00,11316.305,NA,conductivity,21.593
26/08/2025,18:00:00,11631.737,NA,conductivity,21.594
26/08/2025,18:05:00,11914.220,NA,conductivity,21.594
26/08/2025,18:10:00,12143.106,NA,conductivity,21.595
26/08/2025,18:15:00,12334.470,NA,conductivity,21.594
26/08/2025,18:20:00,12578.382,NA,conductivity,21.596
26/08/2025,18:25:00,12687.552,NA,conductivity,21.596
26/08/2025,18:30:00,12819.599,NA,conductivity,21.596
26/08/2025,18:35:00,12942.525,NA,conductivity,21.597
26/08/2025,18:40:00,13025.612,NA,conductivity,21.599
26/08/2025,18:45:00,13027.595,NA,conductivity,21.599
26/08/2025,18:50:00,13148.813,NA,conductivity,21.603
26/08/2025,18:55:00,13192.437,NA,conductivity,21.604
26/08/2025,19:00:00,13170.105,NA,conductivity,21.602
26/08/2025,19:05:00,13055.914,NA,conductivity,21.599
26/08/2025,19:10:00,12653.864,NA,conductivity,21.597
26/08/2025,19:15:00,12439.137,NA,conductivity,21.595
26/08/2025,19:20:00,12418.769,NA,conductivity,21.596
26/08/2025,19:25:00,12611.165,NA,conductivity,21.595
26/08/2025,19:30:00,12543.915,NA,conductivity,21.595
26/08/2025,19:35:00,11946.571,NA,conductivity,21.591
