vectorkop;vectorkop;184042.9360;87260.0453;5.2648;0.0050;0.0070;08:00:17;2026/03/24
vectorkop1;vectorkop;184042.9361;87260.0465;5.2634;0.0050;0.0069;08:00:32;2026/03/24
vectorkop2;vectorkop;184042.9361;87260.0468;5.2632;0.0050;0.0070;08:00:46;2026/03/24
vectorkop3;vectorkop;184042.9348;87260.0486;5.2624;0.0051;0.0072;08:01:00;2026/03/24
p1c;p1c;184041.5281;87250.3792;5.3107;0.0054;0.0072;08:39:50;2026/03/24
p1a;p1a;184038.7028;87253.0803;5.1207;0.0056;0.0073;08:42:16;2026/03/24
p1b;p1b;184039.9740;87251.7966;5.2770;0.0055;0.0072;08:43:09;2026/03/24
l1;l1;184033.8780;87256.5714;5.0258;0.0056;0.0071;08:50:28;2026/03/24
p2c;p2c;184046.9174;87256.2271;4.6703;0.0069;0.0086;08:55:46;2026/03/24
p2a;p2a;184042.9359;87259.6390;4.9465;0.0059;0.0076;08:57:33;2026/03/24
l3;L3;184047.1162;87271.5374;5.2650;0.0057;0.0073;09:06:33;2026/03/24
p3a;p3a;184051.4197;87267.2124;4.9164;0.0060;0.0077;09:08:33;2026/03/24
p3b;p3b;184053.2074;87265.8698;5.1693;0.0063;0.0082;09:10:16;2026/03/24
p3c;p3c;184055.0287;87264.8787;5.1190;0.0062;0.0082;09:11:42;2026/03/24
r1bis;r1bis;184039.3753;87242.5766;5.9705;0.0055;0.0073;09:14:30;2026/03/24
r2bis;r2bis;184051.9903;87256.4623;6.0142;0.0064;0.0086;09:16:08;2026/03/24
WATERPEIL  r3;WATERPEIL r3;184056.6393;87263.6454;5.6849;0.0059;0.0086;11:23:38;2026/03/24
WATERPEIL  r3 2e;WATERPEIL r3;184056.5875;87263.6080;5.6782;0.0058;0.0085;11:24:25;2026/03/24
WATERPEIL  r2;WATERPEIL r2;184048.2239;87254.8844;5.6461;0.0060;0.0089;11:25:54;2026/03/24
WATERPEIL  r2 2e;WATERPEIL r2;184048.1795;87254.9460;5.6517;0.0061;0.0092;11:26:22;2026/03/24
WATERPEIL  r1;WATERPEIL r1;184042.9110;87249.6090;5.6315;0.0062;0.0093;11:27:33;2026/03/24
WATERPEIL  r1 2e;WATERPEIL r1;184042.7730;87249.6328;5.6408;0.0058;0.0086;11:28:03;2026/03/24
WATERPEIL  r3 3e;WATERPEIL r3;184056.2203;87263.3047;5.6391;0.0064;0.0128;12:28:31;2026/03/24
WATERPEIL  r3 4e;WATERPEIL r3;184056.1643;87263.2156;5.6592;0.0059;0.0113;12:28:53;2026/03/24
WATERPEIL  r2 3e;WATERPEIL r2;184048.4048;87254.9142;5.6959;0.0063;0.0117;12:30:11;2026/03/24
WATERPEIL  r2 4e;WATERPEIL r2;184048.4774;87254.9045;5.7033;0.0064;0.0120;12:30:28;2026/03/24
WATERPEIL  r1 3e;WATERPEIL r1;184043.2671;87249.9328;5.6534;0.0050;0.0086;12:31:54;2026/03/24
WATERPEIL  r1 4e;WATERPEIL r1;184043.2961;87249.9072;5.6511;0.0049;0.0085;12:32:09;2026/03/24
